,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",8861.0,1.0
1.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
2.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
3.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
4.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
5.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
6.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
7.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
8.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
9.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
10.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
11.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
12.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
13.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
14.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
15.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
16.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
17.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
18.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
19.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
20.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
21.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
22.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
23.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
24.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
25.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
26.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
27.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
28.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
29.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
30.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
31.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
32.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
33.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
34.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
35.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
36.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
37.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
38.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
39.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
40.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
41.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
42.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
43.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
44.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
45.0,0.0,"person, learn, onlin, feel, easier, class, cours, engag, motiv, inperson",,
