,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",1572.0,1.0
1.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
2.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
3.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
4.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
5.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
6.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
7.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
8.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
9.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
10.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
11.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
12.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
13.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
14.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
15.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
16.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
17.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
18.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
19.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
20.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
21.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
22.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
23.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
24.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
25.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
26.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
27.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
28.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
29.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
30.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
31.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
32.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
33.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
34.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
35.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
36.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
37.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
38.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
39.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
40.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
41.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
42.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
43.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
44.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
45.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
46.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
47.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
48.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
49.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
50.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
51.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
52.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
53.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
54.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
55.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
56.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
57.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
58.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
59.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
60.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
61.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
62.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
63.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
64.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
65.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
66.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
67.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
68.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
69.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
70.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
71.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
72.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
73.0,0.0,"onlin, time, class, work, cours, feel, learn, prefer, pace, studi",,
