,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",363.0,1.0
1.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
2.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
3.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
4.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
5.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
6.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
7.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
8.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
9.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
10.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
11.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
12.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
13.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
14.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
15.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
16.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
17.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
18.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
19.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
20.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
21.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
22.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
23.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
24.0,0.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer",,
