,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['make', 'learn', 'collabor', 'school']"
1,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['discuss', 'interact', 'feel', 'actual', 'class', 'depend', 'subject']"
2,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['time', 'interact']"
3,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['independ', 'work', 'check', 'call', 'discuss']"
4,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['social', 'interact', 'learn', 'lectur']"
5,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['easier', 'interact', 'teacher', 'classmat']"
6,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['opportun', 'particip', 'discuss', 'time', 'put', 'thought', 'order']"
7,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['feel', 'learn', 'teacher', 'teach', 'materi', 'classmat', 'collabor', 'skill', 'solv', 'problem', 'singl', 'classmat', 'kinda', 'struggl', 'classroom', 'set', 'pressur', 'weaken']"
8,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['interact', 'increas', 'attent']"
9,0.0,1.0,"live, discuss, time, interact, class, engag, work, peopl, question, peer","['read', 'assign', 'listen', 'watch', 'help', 'understand']"
