,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",5020.0,1.0
1.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
2.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
3.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
4.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
5.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
6.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
7.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
8.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
9.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
10.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
11.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
12.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
13.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
14.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
15.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
16.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
17.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
18.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
19.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
20.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
21.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
22.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
23.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
24.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
25.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
26.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
27.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
28.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
29.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
30.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
31.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
32.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
33.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
34.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
35.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
36.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
37.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
38.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
39.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
40.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
41.0,0.0,"interact, question, ask, class, teacher, feel, live, engag, lectur, learn",,
