,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",2781.0,1.0
1.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
2.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
3.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
4.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
5.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
6.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
7.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
8.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
9.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
10.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
11.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
12.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
13.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
14.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
15.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
16.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
17.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
18.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
19.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
20.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
21.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
22.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
23.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
24.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
25.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
26.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
27.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
28.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
29.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
30.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
31.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
32.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
33.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
34.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
35.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
36.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
37.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
38.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
39.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
40.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
41.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
42.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
43.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
44.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
45.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
46.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
47.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
48.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
49.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
50.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
51.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
52.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
53.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
54.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
55.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
56.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
57.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
58.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
59.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
60.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
61.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
62.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
63.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
64.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
65.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
66.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
67.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
68.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
69.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
70.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
71.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
72.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
73.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
74.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
75.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
76.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
77.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
78.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
79.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
80.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
81.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
82.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
83.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
84.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
85.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
86.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
87.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
88.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
89.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
90.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
91.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
92.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
93.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
94.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
95.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
96.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
97.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
98.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
99.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
100.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
101.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
102.0,0.0,"time, lectur, watch, paus, class, understand, back, pace, work, live",,
