,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",1187.0,1.0
1.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
2.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
3.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
4.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
5.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
6.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
7.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
8.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
9.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
10.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
11.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
12.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
13.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
14.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
15.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
16.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
17.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
18.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
19.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
20.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
21.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
22.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
23.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
24.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
25.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
26.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
27.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
28.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
29.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
30.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
31.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
32.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
33.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
34.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
35.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
36.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
37.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
38.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
39.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
40.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
41.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
42.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
43.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
44.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
45.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
46.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
47.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
48.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
49.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
50.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
51.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
52.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
53.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
54.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
55.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
56.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
57.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
58.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
59.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
60.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
61.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
62.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
63.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
64.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
65.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
66.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
67.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
68.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
69.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
70.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
71.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
72.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
73.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
74.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
75.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
76.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
77.0,0.0,"work, time, pace, class, materi, learn, live, zoom, prefer, teacher",,
