,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",10391.0,1.0
1.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
2.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
3.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
4.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
5.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
6.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
7.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
8.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
9.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
10.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
11.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
12.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
13.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
14.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
15.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
16.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
17.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
18.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
19.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
20.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
21.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
22.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
23.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
24.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
25.0,0.0,"class, lectur, time, onlin, work, teacher, make, live, interact, student",,
