doc_no,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'easili']"
1,1,5.0,0.7749999761581421,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['face', 'face', 'feel']"
2,2,9.0,0.7749999761581421,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['paus', 'learn', 'pace']"
3,3,2.0,0.10000000149011612,"shi, „normal”, connexion, judgement, subtitel, discussionsdeb, mention, queri, insight, revision😉",['chill']
4,4,4.0,0.5249999761581421,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['easier', 'follow', 'back']"
5,5,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'question']"
6,6,3.0,0.7749999761581421,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['similar', 'normal', 'routin']"
7,7,8.0,0.4438999891281128,"live, content, inform, upload, video, teach, find, abil, chat, activ","['receiv', 'content', 'realist', 'pressur', 'live', 'nervous', 'alongsid']"
8,8,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
9,9,1.0,0.3666999936103821,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'stress']"
10,10,9.0,0.41999998688697815,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['make', 'learn', 'collabor', 'school']"
11,11,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['opportun', 'discuss']"
12,12,7.0,0.6833000183105469,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['convers', 'flow', 'question', 'easili', 'ask']"
13,13,1.0,0.7749999761581421,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['make', 'easier', 'understand']"
14,14,8.0,0.22040000557899475,"live, content, inform, upload, video, teach, find, abil, chat, activ","['opportun', 'questionsseek', 'clarif', 'learn', 'happen']"
15,15,9.0,0.3499999940395355,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['choos', 'work', 'oppos', 'schedul', 'time']"
16,16,1.0,0.6833000183105469,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'understand', 'question', 'real', 'life']"
17,17,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'teacher', 'student']"
18,18,3.0,0.703000009059906,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['engaginginteract', 'hold', 'account']"
19,19,9.0,0.699999988079071,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'pace']"
20,20,6.0,0.4388999938964844,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['peopl', 'free', 'respond', 'time', 'argument', 'construct', 'concis', 'manner']"
21,21,1.0,0.516700029373169,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['similar', 'real', 'life', 'easier', 'engag']"
22,22,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'teacher', 'classmat']"
23,23,6.0,0.2199999988079071,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['feel', 'pressur', 'work', 'time']"
24,24,1.0,0.3499999940395355,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'question', 'engag', 'live', 'materi']"
25,25,8.0,0.516700029373169,"live, content, inform, upload, video, teach, find, abil, chat, activ","['question', 'respons', 'rememb', 'content', 'effect']"
26,26,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
27,27,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['room', 'professor']"
28,28,7.0,0.8500000238418579,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['talk', 'directli', 'teacher', 'help', 'structur']"
29,29,5.0,0.41999998688697815,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['feel', 'teacher', 'explain', 'time']"
30,30,6.0,0.3666999936103821,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['time', 'feel']"
31,31,6.0,0.3666999936103821,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['time', 'structur']"
32,32,9.0,0.5249999761581421,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['easier', 'person', 'learn']"
33,33,7.0,0.8199999928474426,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['question', 'answer', 'immedi', 'interact']"
34,34,7.0,0.8500000238418579,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['possibl', 'interact', 'professor', 'class', 'mate']"
35,35,7.0,0.41179999709129333,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['quickest', 'commun']"
36,36,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['convers', 'teacher']"
37,37,1.0,0.27549999952316284,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['explan', 'work', 'told', 'understand']"
38,38,5.0,0.5249999761581421,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['feel', 'isol', 'easier']"
39,39,7.0,0.3666999936103821,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'engag']"
40,40,4.0,0.6448000073432922,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['reli', 'stabl', 'internet', 'connect', 'run', 'risk', 'miss', 'back', 'thing']"
41,41,9.0,0.7749999761581421,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['zoom', 'awkward', 'access']"
42,42,8.0,0.2750000059604645,"live, content, inform, upload, video, teach, find, abil, chat, activ","['forc', 'show', 'procrastin']"
43,43,6.0,0.5249999761581421,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['easier', 'concentr', 'time']"
44,44,7.0,0.637499988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['resembl', 'normal', 'class', 'instantli', 'question', 'wait', 'email']"
45,45,7.0,0.7013000249862671,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'mate', 'facilit']"
46,46,5.0,0.49950000643730164,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['accommod', 'daili', 'lifestyl', 'free', 'work', 'potenti', 'concern']"
47,47,1.0,0.41999998688697815,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['good', 'opinion', 'view', 'subject']"
48,48,6.0,0.699999988079071,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['mean', 'time']"
49,49,6.0,0.550000011920929,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",['time']
50,50,7.0,0.35010001063346863,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['conduct', 'normal', 'class', 'easier', 'question']"
51,51,4.0,0.2750000059604645,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['instant', 'repli', 'lectur']"
52,52,7.0,0.5519000291824341,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['posiibl', 'interact']"
53,53,4.0,0.387800008058548,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['ive', 'experienc', 'nice', 'thing', 'pace', 'miss', 'interact']"
54,54,9.0,0.6833000183105469,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'sleep', 'schedul', 'im', 'feel', 'productuv']"
55,55,6.0,0.7764000296592712,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['time', 'classsess', 'spend', 'time']"
56,56,9.0,0.550000011920929,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",['person']
57,57,7.0,0.3009999990463257,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['music', 'student', 'play', 'viola', 'individu', 'lesson', 'order', 'improv', 'music', 'theori']"
58,58,5.0,0.5181999802589417,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['complet', 'time', 'talk', 'explain', 'properli', 'expert']"
59,59,3.0,0.3515999913215637,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['applic', 'email', 'teacher', 'suggest', 'thing', 'fill', 'time']"
60,60,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['structur']
61,61,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['onlin', 'lesson', 'anxieti']"
62,62,3.0,0.3005000054836273,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['engag', 'show', 'record', 'lectur', 'sort', 'push', 'back']"
63,63,7.0,0.3666999936103821,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'option']"
64,64,7.0,0.3666999936103821,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['engag', 'interact']"
65,65,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'teacher']"
66,66,3.0,0.699999988079071,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['close', 'inperson']"
67,67,5.0,0.550000011920929,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",['feel']
68,68,6.0,0.6200000047683716,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['freedom', 'spend', 'long', 'task']"
69,69,9.0,0.41999998688697815,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['learn', 'place', 'class', 'environ']"
70,70,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
71,71,9.0,0.699999988079071,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['person', 'contact']"
72,72,8.0,0.2750000059604645,"live, content, inform, upload, video, teach, find, abil, chat, activ","['live', 'interact', 'peopl']"
73,73,4.0,0.4099999964237213,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['feel', 'interact', 'mean', 'listen', 'focu', 'closest', 'thing', 'actual', 'lectur']"
74,74,3.0,0.41999998688697815,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['realtim', 'engag', 'teacher', 'content']"
75,75,6.0,0.8199999928474426,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['lot', 'conveni', 'studi', 'time']"
76,76,1.0,0.6790000200271606,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['question', 'real', 'time', 'hear', 'peer', 'opinion', 'viewpoint', 'materi', 'wider', 'understand']"
77,77,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'question']"
78,78,9.0,0.5249999761581421,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'pace', 'question']"
79,79,8.0,0.516700029373169,"live, content, inform, upload, video, teach, find, abil, chat, activ","['find', 'engag', 'hear', 'inform', 'live']"
80,80,6.0,0.3666999936103821,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['flexibl', 'day']"
81,81,1.0,0.3499999940395355,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['spend', 'time', 'learn', 'materi', 'understand']"
82,82,7.0,0.5536999702453613,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['feel', 'commun', 'feel', 'class', 'colleg', 'small', 'class', 'size', '25', 'student', 'max', 'commun', 'import']"
83,83,7.0,0.5519000291824341,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['possibilit', 'interact']"
84,84,7.0,0.3666999936103821,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'engag']"
85,85,3.0,0.5249999761581421,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['engag', 'stop', 'procrastin']"
86,86,8.0,0.3666999936103821,"live, content, inform, upload, video, teach, find, abil, chat, activ","['question', 'live']"
87,87,8.0,0.512499988079071,"live, content, inform, upload, video, teach, find, abil, chat, activ","['activ', 'interact', 'engag', 'content', 'abil', 'question', 'respons']"
88,88,3.0,0.550000011920929,"record, engag, normal, email, similar, prefer, dont, point, stop, account",['record']
89,89,7.0,0.6833000183105469,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['activ', 'particip', 'discuss', 'question', 'need']"
90,90,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['lesson', 'taught', 'class']"
91,91,4.0,0.41999998688697815,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['interact', 'aspect', 'forc', 'listen']"
92,92,1.0,0.28189998865127563,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'engag', 'lesson', 'understand', 'content', 'explain', 'chanc', 'question', 'consolid', 'learn']"
93,93,9.0,0.3100999891757965,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'time', 'frame', 'form', 'work', 'conjunct', 'record', 'lectur', 'zoom', 'lectur', 'seminarsclass']"
94,94,6.0,0.45570001006126404,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['back', 'record', 'lectur', 'conveni', 'zoom', 'session', 'honest', 'wast', 'time']"
95,95,7.0,0.6200000047683716,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['live', 'interact', 'teacher', 'student']"
96,96,4.0,0.699999988079071,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['rewind', 'back']"
97,97,9.0,0.5716000199317932,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['enabl', 'continu', 'learn', 'similar', 'regular', 'school', 'flexibl', 'schedul']"
98,98,6.0,0.2750000059604645,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['interact', 'environ', 'time']"
99,99,7.0,0.5249999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'peopl', 'question']"
100,100,8.0,0.517799973487854,"live, content, inform, upload, video, teach, find, abil, chat, activ","['mixtur', 'upload', 'video', 'live', 'tutori', 'work']"
101,101,4.0,0.3666999936103821,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['live', 'lectur']"
102,102,3.0,0.36320000886917114,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['question', 'make', 'professor', 'ignor', 'ignor', 'email']"
103,103,1.0,0.41999998688697815,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'note', 'listen', 'video']"
104,104,1.0,0.5541999936103821,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['interact', 'easier', 'question', 'exact', 'moment', 'lectur', 'hear', 'view', 'opinion', 'topic']"
105,105,4.0,0.2750000059604645,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['interact', 'engag', 'lectur']"
106,106,9.0,0.656499981880188,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['im', 'work', 'thesi', 'work', 'project', 'veryyi', 'hard', 'social', 'contact', 'motiv', 'weekli', 'meet', 'supervisor', 'skype', 'help']"
107,107,3.0,0.3666999936103821,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['engag', 'peopl']"
108,108,9.0,0.5857999920845032,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['social', 'anxieti', 'zoom', 'call', 'easier', 'work']"
109,109,1.0,0.5130000114440918,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['throught', 'materi', 'pace', 'paus', 'note', 'detail', 'word', 'concept']"
110,110,4.0,0.525600016117096,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['recheck', 'lectur', 'rewatch', 'understand']"
111,111,1.0,0.6201000213623047,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['clear', 'understand', 'copi', 'note']"
112,112,7.0,0.4099999964237213,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['receiv', 'mode', 'teach', 'feel', 'hold', 'discuss', 'classmat', 'teacher', 'benefici']"
113,113,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
114,114,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['speak']
115,115,1.0,0.5666999816894531,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['chanc', 'answer', 'question', 'easier', 'engag', 'materi', 'harder', 'distract']"
116,116,7.0,0.8205999732017517,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'professor', 'evalu', 'particip', 'class']"
117,117,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['interact']
118,118,7.0,0.516700029373169,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'teacher', 'question', 'dont', 'understand']"
119,119,4.0,0.5249999761581421,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['back', 'watch', 'time']"
120,120,7.0,0.3666999936103821,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['question', 'motiv']"
121,121,3.0,0.31049999594688416,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['chanc', 'engag', 'tutor', 'student', 'live', 'great', 'replic', 'tutori', 'system', 'univers']"
122,122,9.0,0.699999988079071,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['work', 'pace']"
123,123,7.0,0.7013000249862671,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['professor', 'interact', 'himher']"
124,124,5.0,0.298799991607666,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['topic', 'explain', 'spend', 'time', 'learn', 'top', 'assign']"
125,125,8.0,0.41999998688697815,"live, content, inform, upload, video, teach, find, abil, chat, activ","['abil', 'time', 'engag', 'teach']"
126,126,8.0,0.3666999936103821,"live, content, inform, upload, video, teach, find, abil, chat, activ","['live', 'convers']"
127,127,4.0,0.2750999927520752,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['interact', 'pretti', 'lectur']"
128,128,4.0,0.550000011920929,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",['rewind']
129,129,1.0,0.3666999936103821,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['make', 'schedul']"
130,130,8.0,0.699999988079071,"live, content, inform, upload, video, teach, find, abil, chat, activ","['video', 'chat']"
131,131,4.0,0.4203000068664551,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['time', 'full', 'info', 'lectur']"
132,132,7.0,0.550000011920929,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",['question']
133,133,1.0,0.699999988079071,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['easier', 'feedback']"
134,134,4.0,0.3499999940395355,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['forc', 'work', 'oppos', 'prerecord', 'put']"
135,135,9.0,0.3666999936103821,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['pressur', 'pace']"
136,136,6.0,0.2750000059604645,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['time', 'pressur', 'flexibl']"
137,137,7.0,0.7749999761581421,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'easili', 'professor']"
138,138,7.0,0.699999988079071,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'student']"
139,139,7.0,0.2750000059604645,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['person', 'effect', 'question']"
140,140,7.0,0.6833000183105469,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'class', 'teacher', 'help', 'learn']"
141,141,9.0,0.5249999761581421,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['materi', 'powerpoint', 'learn']"
142,142,3.0,0.3499999940395355,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['onlin', 'class', 'engag', 'prefer', 'studi']"
143,143,6.0,0.550000011920929,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",['time']
144,144,6.0,0.550000011920929,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",['time']
