row#,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",48.0,0.0051
1.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",956.0,0.1022
2.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",17.0,0.0018
3.0,0.0,"de, ressemblait, eu, nou, poser, c’est, vraie, une, le, seul",709.0,0.0758
4.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",943.0,0.1008
5.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",700.0,0.0749
6.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",957.0,0.1023
7.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",2981.0,0.3188
8.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",707.0,0.0756
9.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",1333.0,0.1426
10.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
11.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
12.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
13.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
14.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
15.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
16.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
17.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
18.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
19.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
20.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
21.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
22.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
23.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
24.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
25.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
26.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
27.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
28.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
29.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
30.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
31.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
32.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
33.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
34.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
35.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
36.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
37.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
38.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
39.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
40.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
41.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
42.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
43.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
44.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
45.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
46.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
47.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
48.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
49.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
50.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
51.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
52.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
53.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
54.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
55.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
56.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
57.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
58.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
59.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
60.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
61.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
62.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
63.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
64.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
65.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
66.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
67.0,5.0,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort",,
68.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
69.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
70.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
71.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
72.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
73.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
74.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
75.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
76.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
77.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
78.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
79.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
80.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
81.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
82.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
83.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
84.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
85.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
86.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
87.0,8.0,"live, content, inform, upload, video, teach, find, abil, chat, activ",,
88.0,3.0,"record, engag, normal, email, similar, prefer, dont, point, stop, account",,
89.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
90.0,7.0,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor",,
91.0,4.0,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect",,
92.0,1.0,"understand, easier, materi, make, real, note, hear, topic, concept, feedback",,
93.0,9.0,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl",,
94.0,6.0,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend",,
